"filename", "language", "JSON", "PHP", "XML", "Markdown", "YAML", "Makefile", "SQL", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\bloodbank\app\acl.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\xampp\htdocs\bloodbank\app\admin_acl.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\xampp\htdocs\bloodbank\app\controllers\AdminController.php", "PHP", 0, 109, 0, 0, 0, 0, 0, 0, 22, 58, 189
"c:\xampp\htdocs\bloodbank\app\controllers\AppoController.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 10, 20, 86
"c:\xampp\htdocs\bloodbank\app\controllers\DonorController.php", "PHP", 0, 589, 0, 0, 0, 0, 0, 0, 114, 273, 976
"c:\xampp\htdocs\bloodbank\app\controllers\HomeController.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 1, 26, 76
"c:\xampp\htdocs\bloodbank\app\controllers\RestrictedController.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\xampp\htdocs\bloodbank\app\controllers\StaffController.php", "PHP", 0, 425, 0, 0, 0, 0, 0, 0, 61, 274, 760
"c:\xampp\htdocs\bloodbank\app\lib\Email\composer.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\bloodbank\app\lib\Email\composer.lock", "JSON", 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"c:\xampp\htdocs\bloodbank\app\lib\Email\index.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\xampp\htdocs\bloodbank\app\lib\Email\settings.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 19, 4, 48
"c:\xampp\htdocs\bloodbank\app\lib\Email\signup.php", "PHP", 0, 88, 0, 0, 0, 0, 0, 0, 35, 38, 161
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\autoload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\ClassLoader.php", "PHP", 0, 276, 0, 0, 0, 0, 0, 0, 153, 53, 482
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\InstalledVersions.php", "PHP", 0, 174, 0, 0, 0, 0, 0, 0, 118, 46, 338
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\autoload_classmap.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\autoload_namespaces.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\autoload_psr4.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\autoload_real.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 4, 13, 58
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\autoload_static.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\installed.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\installed.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\composer\platform_check.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 0, 160, 0, 0, 0, 0, 0, 63, 223
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\composer.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 46, 17, 147
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
